City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
33,sayan,75,ID,1566618828,78,-8.51,115.24,80.6,16.11
34,ponta do sol,0,BR,1566618828,74,-20.63,-46.0,58.32,0.45
35,bahia blanca,100,AR,1566618829,59,-38.72,-62.27,53.44,11.45
36,butaritari,87,KI,1566618829,69,3.07,172.79,84.94,8.41
37,cape town,0,ZA,1566618829,76,-33.93,18.42,64.0,4.7
38,bluff,57,AU,1566618829,49,-23.58,149.07,70.17,13.69
39,kodiak,1,US,1566618830,83,39.95,-94.76,71.01,11.41
40,tabou,100,CI,1566618830,91,4.42,-7.36,73.75,5.59
41,carnarvon,0,ZA,1566618830,24,-30.97,22.13,55.84,7.78
42,dingle,100,PH,1566618830,74,11.0,122.67,84.85,14.99
43,omaruru,0,NA,1566618830,27,-21.42,15.95,53.17,7.4
44,severo-kurilsk,100,RU,1566618831,84,50.68,156.12,51.0,13.06
45,ancud,90,CL,1566618831,100,-41.87,-73.83,50.0,16.11
46,hameln,67,DE,1566618831,87,52.1,9.36,61.0,1.12
47,kahului,75,US,1566618831,83,20.89,-156.47,78.8,13.87
48,faanui,0,PF,1566618832,69,-16.48,-151.75,78.66,9.82
49,tuatapere,52,NZ,1566618832,77,-46.13,167.69,53.01,13.0
50,nueva gerona,74,CU,1566618832,70,21.88,-82.8,83.92,3.31
51,barrow,98,AR,1566618832,63,-38.31,-60.23,51.19,12.57
52,ribeira grande,0,PT,1566618833,84,38.52,-28.7,69.25,16.98
53,gat,20,SN,1566618833,88,14.69,-16.54,77.0,4.7
54,khatanga,11,RU,1566618833,47,71.98,102.47,64.23,6.08
55,havelock,75,US,1566618833,74,34.88,-76.9,84.2,8.05
56,port hardy,75,CA,1566618833,93,50.7,-127.42,57.2,3.36
57,nishihara,75,JP,1566618834,66,35.74,139.53,91.0,13.87
58,luganville,40,VU,1566618834,61,-15.51,167.18,78.8,11.41
59,richards bay,0,ZA,1566618834,77,-28.77,32.06,64.48,3.69
60,hilo,90,US,1566618748,62,19.71,-155.08,84.2,10.29
61,ahipara,0,NZ,1566618834,93,-35.17,173.16,59.0,1.01
62,inuvik,90,CA,1566618835,81,68.36,-133.71,42.8,19.46
63,upernavik,100,GL,1566618835,56,72.79,-56.15,39.53,5.95
64,toropets,53,RU,1566618758,90,56.5,31.64,53.84,7.52
65,noshiro,40,JP,1566618835,65,40.21,140.05,78.8,14.99
66,conde,47,BR,1566618835,98,-11.81,-37.61,66.48,2.1
67,bow island,75,CA,1566618836,37,49.87,-111.38,69.8,11.41
68,jacksonville,1,US,1566618781,83,30.33,-81.66,82.4,3.36
69,ulladulla,0,AU,1566618836,17,-35.36,150.48,71.6,17.22
70,magadan,77,RU,1566618836,86,59.56,150.8,55.44,6.29
71,pevek,1,RU,1566618837,77,69.7,170.27,43.62,6.38
72,mascote,90,BR,1566618837,90,-15.56,-39.3,66.06,2.26
73,udachnyy,90,RU,1566618837,93,66.42,112.4,51.8,2.24
74,torbay,90,CA,1566618679,93,47.66,-52.73,68.0,18.34
75,shaoguan,0,CN,1566618837,52,24.81,113.59,93.48,1.68
76,nabire,69,ID,1566618838,60,-3.36,135.5,83.11,7.02
77,busselton,28,AU,1566618838,42,-33.64,115.35,62.01,8.3
78,asadabad,0,IR,1566618838,28,34.78,48.12,57.2,2.24
79,champerico,75,MX,1566618838,78,16.38,-93.6,78.8,3.36
80,vila franca do campo,75,PT,1566618839,100,37.72,-25.43,71.6,5.82
81,castro,90,CL,1566618840,100,-42.48,-73.76,50.0,16.11
82,saint george,0,GR,1566618840,63,39.45,22.34,77.0,1.72
83,bathsheba,40,BB,1566618667,78,13.22,-59.52,82.4,10.29
84,klang,75,MY,1566618840,62,3.05,101.45,87.8,3.36
85,boyuibe,0,BO,1566618840,56,-20.43,-63.28,55.82,1.5
86,victoria,75,BN,1566618663,74,5.28,115.24,89.6,2.24
87,norman wells,75,CA,1566618841,87,65.28,-126.83,48.2,3.36
88,kasempa,0,ZM,1566618841,49,-13.46,25.83,50.67,8.1
89,hambantota,90,LK,1566618841,100,6.12,81.12,77.0,5.82
90,sedhiou,100,SN,1566618841,93,12.71,-15.56,74.47,6.78
91,pinega,100,RU,1566618842,95,64.7,43.39,49.16,3.47
92,katsuura,75,JP,1566618842,69,33.93,134.5,82.99,4.7
93,gotsu,75,JP,1566618842,62,35.01,132.22,84.2,11.41
94,hermanus,0,ZA,1566618842,27,-34.42,19.24,64.0,1.01
95,aklavik,90,CA,1566618719,81,68.22,-135.01,42.8,19.46
96,dikson,100,RU,1566618845,97,73.51,80.55,40.36,18.52
97,luderitz,0,NA,1566618845,22,-26.65,15.16,66.2,5.82
98,yellowknife,90,CA,1566618846,93,62.45,-114.38,51.8,10.29
99,portland,90,US,1566618635,59,43.66,-70.25,63.0,6.93
100,bredasdorp,0,ZA,1566618846,51,-34.53,20.04,56.38,6.04
101,bilma,79,NE,1566618846,46,18.69,12.92,86.29,4.54
102,hualmay,47,PE,1566618847,92,-11.1,-77.61,58.65,10.96
103,sogne,24,NO,1566618847,100,58.08,7.82,60.01,3.36
104,byron bay,0,AU,1566618847,49,-28.65,153.62,73.99,13.87
105,solec kujawski,0,PL,1566618811,87,53.08,18.22,60.01,2.24
106,boyolangu,8,ID,1566618847,64,-8.09,111.9,78.03,8.75
107,fortuna,40,US,1566618848,93,40.6,-124.16,75.0,4.7
108,anadyr,75,RU,1566618848,51,64.73,177.51,59.0,8.95
109,mogoytuy,0,RU,1566618848,56,51.28,114.93,69.43,10.11
110,narsaq,0,GL,1566618848,81,60.91,-46.05,42.8,3.36
111,saint anthony,1,US,1566618848,37,43.97,-111.68,71.6,3.36
112,coleraine,100,AU,1566618849,72,-37.6,141.69,59.51,16.26
113,hithadhoo,40,MV,1566618849,66,-0.6,73.08,82.86,7.23
114,san juan,33,AR,1566618664,35,-31.54,-68.53,49.25,0.85
115,clyde river,1,CA,1566618849,58,70.47,-68.59,55.4,19.46
116,nuuk,0,GL,1566618849,87,64.17,-51.74,42.8,2.24
117,new norfolk,75,AU,1566618850,48,-42.78,147.06,63.0,18.34
118,srednekolymsk,30,RU,1566618850,31,67.46,153.71,77.65,2.66
119,vao,94,EE,1566618850,95,59.1,26.19,58.23,9.01
120,mar del plata,100,AR,1566618850,64,-46.43,-67.52,47.92,14.27
121,taltal,1,CL,1566618850,93,-25.41,-70.49,47.95,1.23
122,aleksandrovskoye,0,RU,1566618851,82,56.74,85.39,62.01,6.71
123,manzhouli,0,CN,1566618851,58,49.6,117.43,68.55,4.97
124,necochea,100,AR,1566618851,77,-38.55,-58.74,47.59,8.46
125,cidreira,0,BR,1566618851,92,-30.17,-50.22,51.21,3.98
126,manaus,40,BR,1566618851,78,-3.13,-59.98,78.8,2.24
127,whitehorse,90,CA,1566618754,62,60.72,-135.06,53.6,3.04
128,gariaband,100,IN,1566618852,94,20.63,82.06,74.97,2.46
129,bagotville,0,AU,1566618852,56,-28.98,153.42,73.99,17.22
130,chalus,0,IR,1566618852,68,36.66,51.42,71.6,2.24
131,dunedin,1,NZ,1566618852,65,-45.87,170.5,53.01,7.0
132,longyearbyen,75,NO,1566618853,72,78.22,15.63,37.4,9.17
133,shelburne,75,CA,1566618789,82,44.08,-80.2,61.0,4.7
134,bethel,1,US,1566618853,48,60.79,-161.76,64.4,11.41
135,pisco,40,PE,1566618853,82,-13.71,-76.2,60.8,3.36
136,mahebourg,40,MU,1566618853,93,-20.41,57.7,71.01,7.0
137,santa maria,0,BR,1566618569,38,-16.02,-48.01,73.4,4.7
138,ust-nera,100,RU,1566618854,55,64.57,143.24,62.98,7.4
139,sena madureira,26,BR,1566618854,57,-9.07,-68.66,76.52,0.89
140,winnipeg,90,CA,1566618854,56,49.88,-97.17,69.8,17.22
141,mufulira,0,ZM,1566618854,53,-12.55,28.24,55.99,4.0
142,rio gallegos,40,AR,1566618854,86,-51.62,-69.22,41.0,9.17
143,yurla,79,RU,1566618855,87,59.33,54.32,52.78,9.35
144,port alfred,0,ZA,1566618855,93,-33.59,26.89,57.0,1.99
145,timra,0,SE,1566618855,93,62.49,17.33,53.01,3.36
146,cabedelo,75,BR,1566618856,100,-6.97,-34.84,71.6,6.93
147,klamath falls,1,US,1566618776,36,42.22,-121.78,77.0,8.05
148,burton,1,US,1566618740,82,43.0,-83.62,60.8,7.34
149,nanortalik,76,GL,1566618856,92,60.14,-45.24,39.49,0.22
